sep=;
Name;Exp.;Bid;Ask;Last;High;Low;Open Interest;Volume;Contract Size;Strike
OMXS306F12Y3160;2026-06-12;18.75;22.50;25.00;25.00;25.00;;10;100;"3,160.00"
OMXS306F12Y3240;2026-06-12;6.30;8.80;11.00;;;2;;100;"3,240.00"
OMXS306F12Y3250;2026-06-12;5.40;7.90;10.75;;;2;;100;"3,250.00"
OMXS306F12Y3280;2026-06-12;3.00;6.20;6.10;;;2;;100;"3,280.00"
OMXS306F12Y2800;2026-06-12;253.00;267.75;;;;;;100;"2,800.00"
OMXS306F12Y2810;2026-06-12;245.50;257.00;;;;;;100;"2,810.00"
OMXS306F12Y2820;2026-06-12;236.25;248.00;;;;;;100;"2,820.00"
OMXS306F12Y2830;2026-06-12;227.25;238.75;;;;;;100;"2,830.00"
OMXS306F12Y2840;2026-06-12;218.00;229.75;;;;;;100;"2,840.00"
OMXS306F12Y2850;2026-06-12;209.00;220.75;;;;;;100;"2,850.00"
OMXS306F12Y2860;2026-06-12;200.25;212.00;;;;;;100;"2,860.00"
OMXS306F12Y2870;2026-06-12;191.50;203.00;;;;;;100;"2,870.00"
OMXS306F12Y2880;2026-06-12;182.75;194.50;;;;;;100;"2,880.00"
OMXS306F12Y2890;2026-06-12;174.00;185.75;;;;;;100;"2,890.00"
OMXS306F12Y2900;2026-06-12;165.50;177.25;;;;;;100;"2,900.00"
OMXS306F12Y2910;2026-06-12;157.75;169.00;;;;;;100;"2,910.00"
OMXS306F12Y2920;2026-06-12;149.75;159.25;;;;;;100;"2,920.00"
OMXS306F12Y2930;2026-06-12;141.75;151.00;;;;;;100;"2,930.00"
OMXS306F12Y2940;2026-06-12;134.00;143.00;;;;;;100;"2,940.00"
OMXS306F12Y2950;2026-06-12;126.25;135.00;;;;;;100;"2,950.00"
OMXS306F12Y2960;2026-06-12;118.75;127.25;;;;;;100;"2,960.00"
OMXS306F12Y2970;2026-06-12;111.50;119.50;;;;;;100;"2,970.00"
OMXS306F12Y2980;2026-06-12;104.50;113.50;;;;;;100;"2,980.00"
OMXS306F12Y2990;2026-06-12;97.50;105.00;;;;;;100;"2,990.00"
OMXS306F12Y3000;2026-06-12;91.00;98.00;;;;;;100;"3,000.00"
OMXS306F12Y3010;2026-06-12;84.50;91.25;;;;;;100;"3,010.00"
OMXS306F12Y3020;2026-06-12;78.25;84.75;;;;;;100;"3,020.00"
OMXS306F12Y3030;2026-06-12;72.50;78.50;;;;;;100;"3,030.00"
OMXS306F12Y3040;2026-06-12;66.75;72.50;;;;;;100;"3,040.00"
OMXS306F12Y3050;2026-06-12;61.50;66.75;;;;;;100;"3,050.00"
OMXS306F12Y3060;2026-06-12;56.25;61.50;;;;;;100;"3,060.00"
OMXS306F12Y3070;2026-06-12;51.00;56.25;;;;;;100;"3,070.00"
OMXS306F12Y3080;2026-06-12;46.25;51.50;;;;;;100;"3,080.00"
OMXS306F12Y3090;2026-06-12;42.00;46.75;;;;;;100;"3,090.00"
OMXS306F12Y3100;2026-06-12;37.75;42.50;;;;;;100;"3,100.00"
OMXS306F12Y3110;2026-06-12;34.00;38.50;;;;;;100;"3,110.00"
OMXS306F12Y3120;2026-06-12;30.25;34.75;;;;;;100;"3,120.00"
OMXS306F12Y3130;2026-06-12;27.25;31.00;;;;;;100;"3,130.00"
OMXS306F12Y3140;2026-06-12;24.25;28.00;;;;;;100;"3,140.00"
OMXS306F12Y3150;2026-06-12;21.25;25.00;;;;;;100;"3,150.00"
OMXS306F12Y3170;2026-06-12;16.50;20.00;;;;;;100;"3,170.00"
OMXS306F12Y3180;2026-06-12;14.50;17.75;;;;;;100;"3,180.00"
OMXS306F12Y3190;2026-06-12;12.75;16.00;;;;;;100;"3,190.00"
OMXS306F12Y3200;2026-06-12;11.00;14.25;;;;;;100;"3,200.00"
OMXS306F12Y3210;2026-06-12;9.70;12.50;;;;;;100;"3,210.00"
OMXS306F12Y3220;2026-06-12;8.40;11.25;;;;;;100;"3,220.00"
OMXS306F12Y3230;2026-06-12;7.30;9.90;;;;;;100;"3,230.00"
OMXS306F12Y3260;2026-06-12;4.45;7.10;;;;;;100;"3,260.00"
OMXS306F12Y3270;2026-06-12;3.70;6.50;;;;;;100;"3,270.00"
OMXS306F12Y3290;2026-06-12;2.35;5.80;;;;;;100;"3,290.00"
OMXS306F12Y3300;2026-06-12;1.85;5.40;;;;;;100;"3,300.00"
OMXS306F12Y3310;2026-06-12;1.40;5.00;;;;;;100;"3,310.00"
